CUSTOMER_ID,CUSTOMER_NAME,CUSTOMER_ADDRESS1,CUSTOMER_ADDRESS2,CUSTOMER_CITY,CUSTOMER_STATE,CUSTOMER_COUNTRY,CUSTOMER_ZIPCODE,CREATED_BY,CREATION_DATE,LAST_UPDATED_BY,LAST_UPDATE_DATE
101,DKCE,,,,,,,TALEND_2015_08_27_11_53_39,4/16/2012,ADMIN,4/16/2012
102,DOMINION ENERGY,50 SINTER RD,,FAIRLESS HILLS,PA,UNITED STATES,19030,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
103,DOMINION VIRGINIA POWER,19000 POSSUM POINT RD,,DUMFRIES,VA,UNITED STATES,22026-2802,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
104,DOW CHEMICAL CANADA INC,PO BOX 16 STN MAIN,,FORT SASKATCHEWAN,AB,CANADA,T8L 2P4,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
855,ONGC TRIPURA POWER COMPANY LIMITED,,,,,,,TALEND_2017_06_23_09_02_36,9/4/2012,,
105,DOW CHEMICAL COMPANY, THE,2301 N BRAZOSPORT BLVD REC B401 BLDG B-1400,,FREEPORT,TX,UNITED STATES,77541,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
106,DOYLE 1, LLC,1318 GRATIS RD NW,,MONROE,GA,UNITED STATES,30656-4824,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
107,DUBAI ELECTRICITY & WATER AUTHORITY,JEBEL ALI,,DUBAI,DUBAI,UNITED ARAB EMIRATES,,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
108,DUKE ENERGY CORPORATION,859 STATE ROUTE 83,,BEVERLY,OH,UNITED STATES,45715,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
109,DUKE ENERGY HANGING ROCK LLC,1395 COUNTY ROAD 1A,,IRONTON,OH,UNITED STATES,45638-8699,ETL_CM_20130609102959,4/16/2012,ADMIN,4/16/2012
110,DUKE ENERGY INDIANA, INC,445 BOLTON RD,,WEST TERRE HAUTE,IN,UNITED STATES,478858868,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
111,DUKE ENERGY MADISON LLC,5657 KENNEL RD,,TRENTON,OH,UNITED STATES,45067-9540,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
112,DUKE ENERGY NORTH AMERICA,100 ENERGY DRIVE,,MASONTOWN,PA,UNITED STATES,15461,TALEND_2015_02_03_02_37_44,4/16/2012,ADMIN,4/16/2012
